The second linear model has 1 hidden layer with 2 neurons. The same data is used as above.
The training performance is as follows:
Epoch: 344, Loss: 120.895, Time Elapsed: 51 milliseconds
Epoch: 345, Loss: 116.704, Time Elapsed: 53 milliseconds
Epoch: 346, Loss: 112.678, Time Elapsed: 46 milliseconds
Epoch: 347, Loss: 108.81, Time Elapsed: 47 milliseconds
Epoch: 348, Loss: 105.093, Time Elapsed: 48 milliseconds
Epoch: 349, Loss: 101.521, Time Elapsed: 51 milliseconds
Epoch: 350, Loss: 98.0877, Time Elapsed: 47 milliseconds
Epoch: 351, Loss: 94.7878, Time Elapsed: 50 milliseconds
Epoch: 352, Loss: 91.6156, Time Elapsed: 50 milliseconds
Epoch: 353, Loss: 88.5659, Time Elapsed: 47 milliseconds
Epoch: 354, Loss: 85.6336, Time Elapsed: 46 milliseconds
Epoch: 355, Loss: 82.814, Time Elapsed: 47 milliseconds
Epoch: 356, Loss: 80.1025, Time Elapsed: 47 milliseconds
Epoch: 357, Loss: 77.4945, Time Elapsed: 49 milliseconds
Epoch: 358, Loss: 74.986, Time Elapsed: 46 milliseconds
Epoch: 359, Loss: 72.5729, Time Elapsed: 46 milliseconds
Epoch: 360, Loss: 70.2512, Time Elapsed: 47 milliseconds
Epoch: 361, Loss: 68.0174, Time Elapsed: 51 milliseconds
Epoch: 362, Loss: 65.8677, Time Elapsed: 46 milliseconds
Epoch: 363, Loss: 63.7989, Time Elapsed: 47 milliseconds
Epoch: 364, Loss: 61.8077, Time Elapsed: 46 milliseconds
Epoch: 365, Loss: 59.8909, Time Elapsed: 49 milliseconds
Epoch: 366, Loss: 58.0456, Time Elapsed: 45 milliseconds
Epoch: 367, Loss: 56.2689, Time Elapsed: 47 milliseconds
Epoch: 368, Loss: 54.558, Time Elapsed: 48 milliseconds
Epoch: 369, Loss: 52.9103, Time Elapsed: 50 milliseconds
Epoch: 370, Loss: 51.3234, Time Elapsed: 46 milliseconds
Epoch: 371, Loss: 49.7947, Time Elapsed: 46 milliseconds
Epoch: 372, Loss: 48.3221, Time Elapsed: 46 milliseconds
Epoch: 373, Loss: 46.9032, Time Elapsed: 52 milliseconds
Epoch: 374, Loss: 45.5359, Time Elapsed: 48 milliseconds
Epoch: 375, Loss: 44.2182, Time Elapsed: 52 milliseconds
Epoch: 376, Loss: 42.9482, Time Elapsed: 46 milliseconds
Epoch: 377, Loss: 41.724, Time Elapsed: 51 milliseconds
Epoch: 378, Loss: 40.5438, Time Elapsed: 46 milliseconds
Epoch: 379, Loss: 39.4058, Time Elapsed: 47 milliseconds
Epoch: 380, Loss: 38.3085, Time Elapsed: 46 milliseconds
Epoch: 381, Loss: 37.2502, Time Elapsed: 50 milliseconds
Epoch: 382, Loss: 36.2295, Time Elapsed: 49 milliseconds
Epoch: 383, Loss: 35.2448, Time Elapsed: 47 milliseconds
Epoch: 384, Loss: 34.2948, Time Elapsed: 47 milliseconds
